#{"t_start": 1763582221.5928195, "env_id": "None"}
r,l,t
160.497273,1001,11.211775
0.080142,1001,18.903156
147.873393,1001,39.993249
401.550225,1001,48.545193
729.00827,1001,66.311684
168.710596,1001,75.382993
967.058367,1001,92.668077
1321.099209,1001,101.14504
584.337517,1001,120.304135
1356.773957,1001,128.353953
393.958272,1001,146.803897
151.207395,1001,155.769328
89.384507,1001,174.120384
285.937944,1001,182.845597
296.367327,1001,201.552403
767.290767,1001,210.659256
433.412148,1001,229.232549
1318.077161,1001,237.467127
276.592908,1001,258.362131
461.987349,1001,266.314214
362.487565,1001,286.773489
1611.173521,1001,295.012521
872.067015,1001,316.402703
741.341805,1001,324.634811
1655.653201,1001,344.756957
952.540383,1001,353.703119
1476.639336,1001,372.914701
1567.054861,1001,382.273281
1243.566935,1001,400.5788
1308.835253,1001,410.555608
835.028435,1001,429.932197
1756.349491,1001,440.102267
459.918229,1001,458.822951
1426.733905,1001,468.026372
667.972839,1001,487.542766
1849.829192,1001,496.19895
1396.488038,1001,516.49577
1195.571704,1001,525.038189
1265.87294,1001,544.999965
634.587842,1001,553.716242
866.005661,1001,574.392196
600.727481,1001,583.230023
837.543055,1001,601.67719
1137.227702,1001,611.776965
1780.726558,1001,620.654558
582.457498,1001,640.579846
552.658789,1001,649.568087
1721.983197,1001,667.93532
1728.882635,1001,678.049467
545.54265,1001,696.226414
1710.548993,1001,706.590481
1570.442006,1001,724.924438
123.674736,320,727.703663
1842.177844,1001,749.092272
596.607038,1001,757.821916
639.137002,1001,778.15662
1503.4322,1001,787.076734
963.641547,1001,806.469119
1315.527442,1001,815.268791
1234.977565,1001,824.192611
863.973749,1001,844.374304
1345.558397,1001,853.089011
751.667914,1001,872.815741
1439.683848,1001,881.824188
1655.189989,1001,900.649322
1358.490745,1001,910.483498
837.172179,1001,929.768598
664.113161,1001,939.691723
1094.220139,1001,959.079261
1766.21424,1001,968.328533
1941.543076,1001,988.270806
1056.751988,1001,997.110202
1303.127703,1001,1016.815801
771.182639,1001,1025.945583
836.13686,1001,1046.337492
1349.089732,971,1054.989522
1892.534295,1001,1075.237803
717.422733,1001,1084.263446
1565.676889,1001,1103.72658
